endpoint,message,data.contractID,data.symbol,data.expiration,data.strike,data.type,data.last,data.mark,data.bid,data.bid_size,data.ask,data.ask_size,data.volume,data.open_interest,data.date,data.implied_volatility,data.delta,data.gamma,data.theta,data.vega,data.rho
Historical Options,success,ET240823C00002500,ET,8/23/2024,2.5,call,0,13.8,12.6,82,15,20,0,0,8/20/2024,3.38789,0.99389,0.00119,-0.1544,0.00025,0.00019
Historical Options,success,ET240823P00002500,ET,8/23/2024,2.5,put,0,0.01,0,0,0.53,550,0,0,8/20/2024,8.31902,-0.00223,0.00058,-0.0515,0.0001,0
Historical Options,success,ET240823C00005000,ET,8/23/2024,5,call,0,11.32,10.35,82,12.3,22,0,0,8/20/2024,9.19888,0.96537,0.00572,-0.62634,0.00112,0.00034
Historical Options,success,ET240823P00005000,ET,8/23/2024,5,put,0,0.01,0,0,0.53,763,0,0,8/20/2024,5.27153,-0.00366,0.00143,-0.0511,0.00016,-0.00001
Historical Options,success,ET240823C00006000,ET,8/23/2024,6,call,0,10.15,9.9,62,10.4,22,0,0,8/20/2024,6.21755,0.97879,0.00562,-0.28326,0.00074,0.00046
Historical Options,success,ET240823P00006000,ET,8/23/2024,6,put,0,0.01,0,0,0.53,702,0,0,8/20/2024,4.48664,-0.00433,0.00195,-0.05052,0.00019,-0.00001
Historical Options,success,ET240823C00007000,ET,8/23/2024,7,call,0,9.65,8.95,62,10.35,2,0,0,8/20/2024,8.64599,0.92674,0.01105,-1.06761,0.00202,0.00043
Historical Options,success,ET240823P00007000,ET,8/23/2024,7,put,0,0.01,0,0,0.53,724,0,0,8/20/2024,3.82507,-0.00509,0.00264,-0.04977,0.00021,-0.00001
Historical Options,success,ET240823C00008000,ET,8/23/2024,8,call,0,8.65,7.95,62,9.35,2,0,0,8/20/2024,7.48825,0.91413,0.01438,-1.04323,0.00228,0.0005
Historical Options,success,ET240823P00008000,ET,8/23/2024,8,put,0,0.01,0,0,0.53,733,0,0,8/20/2024,3.25207,-0.00599,0.00359,-0.04886,0.00025,-0.00001
Historical Options,success,ET240823C00009000,ET,8/23/2024,9,call,0,7.65,7,62,8.3,1,0,0,8/20/2024,6.4747,0.89987,0.01863,-1.01104,0.00256,0.00056
Historical Options,success,ET240823P00009000,ET,8/23/2024,9,put,0,0.01,0,0,0.53,526,0,0,8/20/2024,2.74507,-0.00708,0.00492,-0.04779,0.00029,-0.00001
Historical Options,success,ET240823C00010000,ET,8/23/2024,10,call,0,6.17,5.25,101,7.1,22,0,0,8/20/2024,3.41228,0.95425,0.01934,-0.29522,0.0014,0.00075
Historical Options,success,ET240823P00010000,ET,8/23/2024,10,put,0,0.01,0,0,0.22,487,0,0,8/20/2024,2.28853,-0.00844,0.0069,-0.0465,0.00033,-0.00001
Historical Options,success,ET240823C00010500,ET,8/23/2024,10.5,call,0,5.67,5.5,69,5.85,24,0,0,8/20/2024,3.11671,0.9502,0.02266,-0.28892,0.0015,0.00079
Historical Options,success,ET240823P00010500,ET,8/23/2024,10.5,put,0,0.01,0,0,0.22,414,0,0,8/20/2024,2.07573,-0.00927,0.00825,-0.04578,0.00036,-0.00001
Historical Options,success,ET240823C00011000,ET,8/23/2024,11,call,0,5.6,4,1,7.2,2,0,0,8/20/2024,4.58237,0.86858,0.03195,-0.86952,0.0031,0.00069
Historical Options,success,ET240823P00011000,ET,8/23/2024,11,put,0,0.01,0,0,0.22,449,0,0,8/20/2024,1.87162,-0.01023,0.00998,-0.04498,0.0004,-0.00001
Historical Options,success,ET240823C00011500,ET,8/23/2024,11.5,call,0,5.6,4.5,62,6.7,1,0,0,8/20/2024,5.59287,0.8194,0.03229,-1.30663,0.00383,0.00062
Historical Options,success,ET240823P00011500,ET,8/23/2024,11.5,put,0,0.01,0,0,0.22,2560,0,11,8/20/2024,1.67513,-0.01136,0.01221,-0.0441,0.00043,-0.00002
Historical Options,success,ET240823C00012000,ET,8/23/2024,12,call,3.95,5.1,4,62,6.2,1,0,0,8/20/2024,5.15279,0.80465,0.03679,-1.26387,0.00402,0.00064
Historical Options,success,ET240823P00012000,ET,8/23/2024,12,put,0,0.01,0,0,0.01,1,0,71,8/20/2024,1.48535,-0.01272,0.01519,-0.0431,0.00048,-0.00002
Historical Options,success,ET240823C00012500,ET,8/23/2024,12.5,call,0,4.12,3.55,20,4.7,22,0,0,8/20/2024,3.52645,0.82769,0.04971,-0.80215,0.00372,0.00075
Historical Options,success,ET240823P00012500,ET,8/23/2024,12.5,put,0,0.01,0,0,0.01,1,0,210,8/20/2024,1.30151,-0.01439,0.01928,-0.04199,0.00053,-0.00002
Historical Options,success,ET240823C00013000,ET,8/23/2024,13,call,3,3.6,3,62,4.2,20,0,0,8/20/2024,3.12098,0.81329,0.05908,-0.74714,0.00391,0.00078
